ticket_id,channel,priority,ticket_text,topic
TIC10418,Chat,Urgent,I need access to the finance shared drive.,Access
TIC10419,Portal,Low,The air conditioning in meeting room B is not working.,Facilities
TIC10420,Email,Medium,I have a question about my parental leave options.,HR
TIC10421,Email,Urgent,My laptop is not starting and shows a blue screen.,IT
TIC10422,Portal,High,I need confirmation of employment for a visa application.,HR
TIC10423,Portal,High,VPN connection drops every few minutes when working from home.,IT
TIC10424,Portal,Low,Can you explain the new tax deduction on my salary?,Payroll
TIC10425,Portal,Medium,My badge does not open the main entrance anymore.,Access
TIC10426,Phone,Low,Who can I contact about corporate volunteering opportunities?,Other
TIC10427,Chat,Medium,I would like to provide feedback about the new office layout.,Other
TIC10428,Phone,Low,The air conditioning in meeting room B is not working.,Facilities
TIC10429,Chat,High,I have a question about my parental leave options.,HR
TIC10430,Chat,High,I need confirmation of employment for a visa application.,HR
TIC10431,Chat,Medium,How can I update my emergency contact information in the HR system?,HR
TIC10432,Phone,Low,I would like to provide feedback about the new office layout.,Other
TIC10433,Portal,Low,I need confirmation of employment for a visa application.,HR
TIC10434,Phone,High,My account is locked and I cannot log into SAP.,Access
TIC10435,Phone,Medium,My laptop is not starting and shows a blue screen.,IT
TIC10436,Chat,High,Who can I contact about corporate volunteering opportunities?,Other
TIC10437,Email,Low,I need access to the finance shared drive.,Access
TIC10438,Email,Medium,"My last payslip seems incorrect, overtime hours are missing.",Payroll
TIC10439,Phone,High,My account is locked and I cannot log into SAP.,Access
TIC10440,Chat,Medium,My account is locked and I cannot log into SAP.,Access
TIC10441,Phone,Medium,"My last payslip seems incorrect, overtime hours are missing.",Payroll
TIC10442,Phone,High,My badge does not open the main entrance anymore.,Access
TIC10443,Portal,Low,My laptop is not starting and shows a blue screen.,IT
TIC10444,Chat,Low,I would like to provide feedback about the new office layout.,Other
TIC10445,Email,Medium,The projector in the training room is broken.,Facilities
TIC10446,Email,Low,I did not receive my bonus payment this month.,Payroll
TIC10447,Email,High,Who can I contact about corporate volunteering opportunities?,Other
TIC10448,Phone,High,I have a question about my parental leave options.,HR
TIC10449,Chat,High,VPN connection drops every few minutes when working from home.,IT
TIC10450,Portal,Medium,The projector in the training room is broken.,Facilities
TIC10451,Email,Low,My laptop is not starting and shows a blue screen.,IT
TIC10452,Chat,Low,Outlook keeps crashing and I cannot send emails.,IT
TIC10453,Email,High,I need confirmation of employment for a visa application.,HR
TIC10454,Portal,Low,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10455,Chat,Medium,Outlook keeps crashing and I cannot send emails.,IT
TIC10456,Phone,High,How can I update my emergency contact information in the HR system?,HR
TIC10457,Phone,Low,"My last payslip seems incorrect, overtime hours are missing.",Payroll
TIC10458,Email,Low,How can I update my emergency contact information in the HR system?,HR
TIC10459,Email,Medium,My account is locked and I cannot log into SAP.,Access
TIC10460,Chat,High,Who can I contact about corporate volunteering opportunities?,Other
TIC10461,Portal,Low,How can I update my emergency contact information in the HR system?,HR
TIC10462,Email,Urgent,I need confirmation of employment for a visa application.,HR
TIC10463,Chat,Medium,I need confirmation of employment for a visa application.,HR
TIC10464,Portal,Urgent,Outlook keeps crashing and I cannot send emails.,IT
TIC10465,Email,Low,The air conditioning in meeting room B is not working.,Facilities
TIC10466,Email,Low,I have a question about my parental leave options.,HR
TIC10467,Chat,High,How can I update my emergency contact information in the HR system?,HR
TIC10468,Email,High,I need access to the finance shared drive.,Access
TIC10469,Phone,Medium,My badge does not open the main entrance anymore.,Access
TIC10470,Portal,High,"My last payslip seems incorrect, overtime hours are missing.",Payroll
TIC10471,Portal,High,Can you explain the new tax deduction on my salary?,Payroll
TIC10472,Phone,Low,I need access to the finance shared drive.,Access
TIC10473,Chat,Medium,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10474,Phone,High,I did not receive my bonus payment this month.,Payroll
TIC10475,Phone,Low,Who can I contact about corporate volunteering opportunities?,Other
TIC10476,Portal,Low,I would like to provide feedback about the new office layout.,Other
TIC10477,Chat,High,The projector in the training room is broken.,Facilities
TIC10478,Email,Low,My account is locked and I cannot log into SAP.,Access
TIC10479,Phone,Low,Can you explain the new tax deduction on my salary?,Payroll
TIC10480,Phone,Urgent,I have a question about my parental leave options.,HR
TIC10481,Chat,Medium,My badge does not open the main entrance anymore.,Access
TIC10482,Phone,High,I did not receive my bonus payment this month.,Payroll
TIC10483,Chat,High,The projector in the training room is broken.,Facilities
TIC10484,Email,Low,Who can I contact about corporate volunteering opportunities?,Other
TIC10485,Chat,Low,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10486,Email,Low,"My last payslip seems incorrect, overtime hours are missing.",Payroll
TIC10487,Chat,Low,The air conditioning in meeting room B is not working.,Facilities
TIC10488,Phone,Medium,Can you explain the new tax deduction on my salary?,Payroll
TIC10489,Email,Medium,"My last payslip seems incorrect, overtime hours are missing.",Payroll
TIC10490,Phone,Medium,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10491,Email,Low,My laptop is not starting and shows a blue screen.,IT
TIC10492,Chat,Low,I have a question about my parental leave options.,HR
TIC10493,Chat,Medium,My badge does not open the main entrance anymore.,Access
TIC10494,Chat,Medium,I would like to provide feedback about the new office layout.,Other
TIC10495,Portal,Low,I have a question about my parental leave options.,HR
TIC10496,Portal,Medium,My account is locked and I cannot log into SAP.,Access
TIC10497,Email,Low,My account is locked and I cannot log into SAP.,Access
TIC10498,Portal,Low,I would like to provide feedback about the new office layout.,Other
TIC10499,Chat,High,I need confirmation of employment for a visa application.,HR
